"VCname","DCname","Clustername","Total Physical Memory (GB)","Configured Memory (GB)","Available Memroy (GB)","Total CPU (Mhz)","Configured CPU (Mhz)","Available CPU (Mhz)","Total Disk Space (GB)","Configured Disk Space (GB)","Available Disk Space (GB)","Nr of hosts","Nr of VMs"
"upvvcs001","Ultimo","Production_Windows_Unsecured_1_U","2015.8","1524.5","491.4","559944","84233","475711","42173.0","34103.7","8069.3","14","93"
"upvvcs001","Ultimo","Production_Windows_Secured_U","1055.9","676.3","379.6","282632","26071","256561","18172.8","13516.3","4656.4","8","67"
"upvvcs001","Ultimo","Test_Unsecured_U","1151.9","851.6","300.3","255936","45489","210447","33381.3","30513.0","2868.3","12","239"
"upvvcs001","Ultimo","Production_Linux_Secured_U","863.9","253.5","610.5","239976","27612","212364","12819.5","4838.5","7981.0","6","24"
"upvvcs001","Ultimo","Test_Secured_U","1439.8","1062.1","377.8","319920","56239","263681","32996.8","30127.5","2869.2","15","209"
"upvvcs001","Ultimo","L4L","431.9","230.0","201.9","182376","10861","171515","4341.5","3407.8","933.7","9","19"
"upvvcs001","Ultimo","Test_Secured_Plus_U","192.0","68.0","124.0","42656","1832","40824","32996.8","30127.5","2869.2","2","4"
"upvvcs001","Ultimo","LMBR_NonProd_V5_U","1055.9","779.1","276.8","234608","20103","214505","23650.5","8609.9","15040.6","11","86"
"upvvcs001","Ultimo","Production_Oasis_U","1343.8","188.8","1155.1","298592","29279","269313","6641.5","2622.2","4019.3","14","137"
"upvvcs001","Ultimo","Production_Windows_Unsecured_2_U","1247.9","664.7","583.2","313560","33411","280149","18661.3","15739.7","2921.5","8","82"
"upvvcs001","Ultimo","Prod_Sec_U","1919.9","772.9","1147.0","367920","25415","342505","8797.0","6496.7","2300.3","10","72"
"upvvcs001","Ultimo","Pre_Prod_U","768.0","189.3","578.7","147168","1354","145814","5502.3","2237.2","3265.0","4","26"
"upvvcs001","Ultimo","Infra_Serv_U","768.0","170.2","597.7","147168","3949","143219","4038.0","2514.8","1523.2","4","23"
"upvvcs001","Ultimo","Non_Prod_U","1343.9","525.4","818.5","257544","6879","250665","15840.3","5726.5","10113.7","7","63"
"upvvcs001","Ultimo","Prod_Unsec_U","0.0","0.0","0.0",,,"0","0.0","0.0","0.0","0","0"
