"VM","Cluster","Host","IP","NIC","Operating System","CPU","Memory(GB)","Hard Disk","VMConfigFile","VMDKpath","VMDK Size"
"pap2v1","Parramatta_SSC","ppesx1.parramattassc.det.nsw.edu.au","0.0.0.0,172.31.112.11","2","Microsoft Windows Server 2003 Standard (32-bit)","2","3","Hard disk 1","[datastore_1] pap2v1/pap2v1.vmx","[datastore_1] pap2v1/pap2v1.vmdk","30"
"pap2v1","Parramatta_SSC","ppesx1.parramattassc.det.nsw.edu.au","0.0.0.0,172.31.112.11","2","Microsoft Windows Server 2003 Standard (32-bit)","2","3","Hard disk 2","[datastore_1] pap2v1/pap2v1.vmx","[datastore_1] pap2v1/pap2v1_1.vmdk","10"
"ppaalt01","Parramatta_SSC","ppesx1.parramattassc.det.nsw.edu.au","172.31.112.16","1","Microsoft Windows Server 2008 R2 (64-bit)","1","2","Hard disk 1","[datastore_1] ppaalt01/ppaalt01.vmx","[datastore_1] ppaalt01/ppaalt01.vmdk","50"
"ppaalt01","Parramatta_SSC","ppesx1.parramattassc.det.nsw.edu.au","172.31.112.16","1","Microsoft Windows Server 2008 R2 (64-bit)","1","2","Hard disk 2","[datastore_1] ppaalt01/ppaalt01.vmx","[datastore_1] ppaalt01/ppaalt01_1.vmdk","500"
"ppadc01","Parramatta_SSC","ppesx1.parramattassc.det.nsw.edu.au","172.31.112.14","1","Microsoft Windows Server 2008 R2 (64-bit)","2","4","Hard disk 1","[datastore_1] ppadc01/ppadc01.vmx","[datastore_1] ppadc01/ppadc01.vmdk","30"
"ppadc01","Parramatta_SSC","ppesx1.parramattassc.det.nsw.edu.au","172.31.112.14","1","Microsoft Windows Server 2008 R2 (64-bit)","2","4","Hard disk 2","[datastore_1] ppadc01/ppadc01.vmx","[datastore_1] ppadc01/ppadc01_1.vmdk","100"
"ppafs01","Parramatta_SSC","ppesx1.parramattassc.det.nsw.edu.au","172.31.112.12","1","Microsoft Windows Server 2008 R2 (64-bit)","2","4","Hard disk 1","[datastore_2] ppafs01/ppafs01.vmx","[datastore_2] ppafs01/ppafs01.vmdk","30"
"ppafs01","Parramatta_SSC","ppesx1.parramattassc.det.nsw.edu.au","172.31.112.12","1","Microsoft Windows Server 2008 R2 (64-bit)","2","4","Hard disk 2","[datastore_2] ppafs01/ppafs01.vmx","[datastore_2] ppafs01/ppafs01_4.vmdk","300"
"ppafs01","Parramatta_SSC","ppesx1.parramattassc.det.nsw.edu.au","172.31.112.12","1","Microsoft Windows Server 2008 R2 (64-bit)","2","4","Hard disk 3","[datastore_2] ppafs01/ppafs01.vmx","[datastore_2] ppafs01/ppafs01_1.vmdk","300"
"ppafs01","Parramatta_SSC","ppesx1.parramattassc.det.nsw.edu.au","172.31.112.12","1","Microsoft Windows Server 2008 R2 (64-bit)","2","4","Hard disk 4","[datastore_2] ppafs01/ppafs01.vmx","[datastore_2] ppafs01/ppafs01_2.vmdk","300"
"ppafs01","Parramatta_SSC","ppesx1.parramattassc.det.nsw.edu.au","172.31.112.12","1","Microsoft Windows Server 2008 R2 (64-bit)","2","4","Hard disk 5","[datastore_2] ppafs01/ppafs01.vmx","[datastore_2] ppafs01/ppafs01_3.vmdk","300"
"ppanps01","Parramatta_SSC","ppesx1.parramattassc.det.nsw.edu.au","172.31.112.15","1","Microsoft Windows Server 2008 R2 (64-bit)","2","4","Hard disk 1","[datastore_1] ppanps01/ppanps01.vmx","[datastore_1] ppanps01/ppanps01.vmdk","30"
"ppanps01","Parramatta_SSC","ppesx1.parramattassc.det.nsw.edu.au","172.31.112.15","1","Microsoft Windows Server 2008 R2 (64-bit)","2","4","Hard disk 2","[datastore_1] ppanps01/ppanps01.vmx","[datastore_1] ppanps01/ppanps01_1.vmdk","100"
"ppaprn01","Parramatta_SSC","ppesx1.parramattassc.det.nsw.edu.au","172.31.112.13","1","Microsoft Windows Server 2008 R2 (64-bit)","2","4","Hard disk 1","[datastore_1] ppaprn01/ppaprn01.vmx","[datastore_1] ppaprn01/ppaprn01.vmdk","30"
"ppaprn01","Parramatta_SSC","ppesx1.parramattassc.det.nsw.edu.au","172.31.112.13","1","Microsoft Windows Server 2008 R2 (64-bit)","2","4","Hard disk 2","[datastore_1] ppaprn01/ppaprn01.vmx","[datastore_1] ppaprn01/ppaprn01_1.vmdk","50"
